ID,LAT,closest,SST,Ecoregion,Calcite,Chlorophyll_a,Dissolved_oxygen,Nitrate,PAR,Primary_productivity,Salinity,Silicate,Phosphate,Average_tidal_amplitude,Rocky_shore_hab_avail,pH
14,-30,-30.020745,15.96,SEP,0.000277466,2.419791231,5.494966594,3.41806705,36.34910274,1290,34.29,3.790466719,0.639730103,0.56,74.37613,8.225333339
15,-29,-28.969675,16.58,SEP,0.000267755,1.394449946,5.488993466,3.122418672,37.74940098,1335,34.56,3.787828907,0.640333772,0.54,80.60942,8.227801254
16,-28,-27.934089,17.07,SEP,0.000277092,1.764986057,5.557549803,2.761397115,39.35805905,1157,34.56,3.855840951,0.6535568,0.53,86.18368,8.23017184
17,-27,-27.032929,17.38,SEP,0.000282143,1.586016772,5.569900226,2.671717344,39.1008281,1280,34.56,3.864704182,0.651255947,0.52,88.98156,8.230505339
18,-26,-25.93882,18.12,SEP,0.00030117,1.542756319,5.611359242,2.273401175,38.15164645,1170,34.75,3.98192979,0.660580067,0.5,89.35017,8.231989231
19,-25,-25.1562935,18.12,SEP,0.000300607,1.086895082,5.600814609,2.222153039,38.96271935,1124,34.75,4.040043645,0.672802974,0.5,88.73948,8.232103552
20,-24,-23.8829525,18.97,SEP,0.000429239,2.231153015,5.482902601,2.076551202,42.95252893,1285,34.79,4.313434444,0.720603455,0.49,87.27554,8.233
21,-23,-23.0235355,18.97,SEP,0.000460997,4.026535735,5.387078703,2.009065351,44.00641989,1336,34.79,4.622814001,0.781581351,0.48,85.61962,8.233135804
22,-22,-22.137388,19.41,SEP,0.000557975,3.246386951,5.286292077,2.173505736,44.10868066,1227,34.81,4.976298667,0.85841508,0.47,83.83104,8.233553549
23,-21,-21.1436775,19.84,SEP,0.000548901,3.853291479,5.265207119,2.22546553,44.75590079,1338,34.93,5.163262704,0.892719971,0.47,81.47638,8.233638824
24,-20,-19.8974405,20.54,SEP,0.000417603,5.109600056,5.266950968,2.627293332,42.43142828,1279,35.06,5.903063753,1.036639648,0.45,77.81802,8.233114546
25,-19,-18.943919,20.62,SEP,0.000479747,3.068256714,5.296150041,3.010394146,39.9996498,1660,35.06,6.440584959,1.125933639,0.44,74.95648,8.233
26,-18,-18.0350395,20.62,SEP,0.000567666,4.971272949,5.277686888,3.279806856,40.98402677,1700,35.06,6.683239101,1.156767811,0.43,71.96258,8.233
27,-17,-16.9565845,20.16,SEP,0.001747736,3.709393901,5.102172323,4.417458881,39.90769942,1851,35.08,7.431965813,1.247924754,0.39,65.56428,8.232
28,-16,-16.040403,20.06,SEP,0.000692127,2.054695977,4.439306904,6.23285826,43.80246244,1537,35.06,8.2716467,1.322520493,0.36,57.548,8.231
29,-15,-14.9123185,19.45,SEP,0.00044621,3.219176021,4.441092502,6.837522949,47.12564167,1514,34.99,8.44882891,1.356616439,0.31,51.01525,8.229231062
30,-14,-13.969581,19.22,SEP,0.002872933,14.60299657,4.463804711,7.047776711,44.32059015,1594,34.99,9.156597242,1.441833052,0.29,46.66334,8.228028035
31,-13,-12.842011,19.14,SEP,0.001077154,10.25507692,4.677692308,6.826,39.84315385,2170,35.04,8.966846154,1.416223077,0.29,42.38616,8.225230769
32,-12,-12.0083625,19.72,SEP,0.000847878,4.198792573,4.698573102,6.686117205,40.94118056,1793,35.04,8.150070688,1.29507819,0.3,39.32248,8.222645796
33,-11,-10.8945835,20.23,SEP,0.000757299,3.465459251,4.673656845,7.059013936,45.26336669,2255,35.15,8.594870195,1.268319901,0.33,35.24008,8.21695993
34,-10,-9.991882,20.29,SEP,0.001255814,4.65256837,4.611788364,7.350841967,45.04333525,1931,35.15,9.039351736,1.282795046,0.41,32.15964,8.213963165
